text,category,priority,sentiment
complaint: current current nahi aa raha area me immediate action needed,electricity,Normal,Neutral
complaint: pani ganda pani aa raha hai area me,water,Normal,Negative
tap pipeline leak ho rahi hai colony me,water,Normal,Negative
"please help, electricity fluctuation ho raha hai near hospital jaldi solve kare",electricity,Normal,Negative
urgent: jal nahi aa raha main road pe jaldi solve kare,water,High,Negative
"please help, noise bahut zyada hai area me immediate action needed",public,Normal,Neutral
"please help, voltage current nahi aa raha market me jaldi solve kare",electricity,Normal,Neutral
complaint: awaz illegal parking ho rahi hai near school please fix asap,public,Normal,Negative
urgent: drain nahi uthaya gaya market me,sanitation,High,Negative
"serious issue, water supply band hai market me",water,High,Negative
"please help, waste nahi uthaya gaya colony me bahut dikkat ho rahi hai",sanitation,Normal,Neutral
complaint: jal pipeline leak ho rahi hai ghar ke paas bahut dikkat ho rahi hai,water,Normal,Neutral
"please help, supply tap se pani nahi aa raha market me immediate action needed",water,Normal,Neutral
"bahut problem hai, light shock lagne ka danger hai area me bahut dikkat ho rahi hai",electricity,High,Negative
complaint: drain bahut badbu aa rahi hai market me,sanitation,Normal,Negative
transformer nahi aa rahi society me jaldi solve kare,electricity,Normal,Negative
construction bade potholes hai market me please fix asap,roads,Normal,Neutral
complaint: road road damage hai market me jaldi solve kare,roads,Normal,Negative
"please help, noise control nahi ho raha ghar ke paas immediate action needed",public,Normal,Neutral
urgent: drain overflow ho raha hai area me,sanitation,High,Negative
street accident ka danger hai near hospital jaldi solve kare,roads,High,Negative
urgent: kooda drain block ho gaya hai main road pe,sanitation,High,Negative
complaint: construction construction incomplete hai ghar ke paas immediate action needed,roads,Normal,Neutral
urgent: voltage power failure ho gaya hai near school,electricity,High,Negative
"bahut problem hai, road road damage hai near school please fix asap",roads,Normal,Neutral
urgent: meter nahi aa rahi market me please fix asap,electricity,High,Negative
complaint: safai overflow ho raha hai near hospital jaldi solve kare,sanitation,Normal,Neutral
urgent: traffic control nahi ho raha ghar ke paas bahut dikkat ho rahi h,public,High,Negative
urgent: garbage kachra jama hai colony me immediate action needed,sanitation,High,Negative
"bahut problem hai, electricity bar bar cut ho rahi hai colony me please fix asap",electricity,Normal,Negative
"bahut problem hai, construction road damage hai main road pe please fix asap",roads,Normal,Negative
"serious issue, street bahut kharab condition me hai main road pe bahut dikkat ho rahi hai",roads,Normal,Negative
"bahut problem hai, dp fluctuation ho raha hai society me jaldi solve kare",electricity,Normal,Negative
sadak bahut kharab condition me hai main road pe bahut dikkat ho rahi hai,roads,Normal,Negative
safai drain block ho gaya hai area me jaldi solve kare,sanitation,Normal,Neutral
nala bahut badbu aa rahi hai area me,sanitation,Normal,Negative
urgent: pothole road damage hai market me immediate action needed,roads,High,Negative
"bahut problem hai, sadak bade potholes hai ghar ke paas jaldi solve kare",roads,Normal,Negative
complaint: construction accident ka danger hai colony me bahut dikkat ho rahi hai,roads,High,Negative
complaint: traffic disturbance create ho raha hai main road pe please fix asap,public,Normal,Negative
urgent: road bahut kharab condition me hai colony me bahut dikkat ho rahi hai,roads,High,Negative
urgent: jal pressure bahut kam hai colony me please fix asap,water,High,Negative
"serious issue, awaz traffic jam ho raha hai ghar ke paas jaldi solve kare",public,High,Negative
noise control nahi ho raha market me please fix asap,public,Normal,Negative
complaint: street road damage hai area me immediate action needed,roads,Normal,Negative
complaint: awaz log bahut shor kar rahe hai ghar ke paas,public,High,Negative
"bahut problem hai, construction kaam adhura hai market me bahut dikkat ho rahi hai",roads,Normal,Negative
urgent: pothole toot gayi hai main road pe,roads,High,Negative
urgent: road road damage hai area me jaldi solve kare,roads,High,Negative
"please help, garbage overflow ho raha hai main road pe jaldi solve kare",sanitation,Normal,Negative
"serious issue, tap pipeline leak ho rahi h ghar ke paas please fix asap",water,Normal,Negative
"please help, noise control nahi ho raha area me",public,High,Negative
complaint: tap water issue hai near school,water,Normal,Neutral
urgent: pothole accident ka danger hai society me bahut dikkat ho rahi hai,roads,High,Negative
"bahut problem hai, road bade potholes hai market me immediate action needed",roads,Normal,Neutral
safai nahi uthaya gaya market me please fix asap,sanitation,High,Negative
"please help, street construction incomplete hai ghar ke paas",roads,Normal,Neutral
"please help, current current nahi aa raha area me bahut dikkat ho rahi hai",electricity,Normal,Neutral
urgent: safai drain block ho gaya h near school immediate action needed,sanitation,High,Negative
"please help, pothole accident ka danger hai near hospital bahut dikkat ho rahi hai",roads,High,Negative
traffic illegal parking ho rahi hai area me immediate action needed,public,Normal,Neutral
complaint: noise illegal parking ho rahi hai colony me bahut dikkat ho rahi hai,public,Normal,Negative
"please help, noise traffic jam ho raha h market me please fix asap",public,Normal,Neutral
"please help, dp shock lagne ka danger h near hospital",electricity,High,Negative
sadak accident ka danger hai ghar ke paas bahut dikkat ho rahi hai,roads,High,Negative
garbage cleaning nahi hui society me bahut dikkat ho rahi h,sanitation,High,Negative
"bahut problem hai, current current nahi aa raha area me please fix asap",electricity,Normal,Negative
urgent: awaz bahut zyada h main road pe immediate action needed,public,High,Negative
"please help, water water issue hai market me please fix asap",water,Normal,Negative
"bahut problem hai, pothole kaam adhura hai society me jaldi solve kare",roads,Normal,Negative
complaint: pipeline ganda pani aa raha hai ghar ke paas please fix asap,water,Normal,Neutral
complaint: sadak construction incomplete hai near school jaldi solve kare,roads,Normal,Negative
complaint: awaz bahut zyada hai society me,public,Normal,Neutral
urgent: electricity current nahi aa raha ghar ke paas bahut dikkat ho rahi hai,electricity,High,Negative
complaint: voltage bar bar cut ho rahi hai area me bahut dikkat ho rahi hai,electricity,Normal,Negative
urgent: pothole bahut kharab condition me hai area me,roads,High,Negative
"please help, parking disturbance create ho raha h colony me immediate action needed",public,Normal,Negative
urgent: pothole accident ka danger hai society me immediate action needed,roads,High,Negative
waste kachra jama hai ghar ke paas,sanitation,Normal,Negative
complaint: water pressure bahut kam hai market me jaldi solve kare,water,Normal,Negative
complaint: jal supply band hai near hospital bahut dikkat ho rahi hai,water,Normal,Neutral
"serious issue, street kaam adhura hai area me please fix asap",roads,Normal,Negative
complaint: awaz bahut zyada hai near school please fix asap,public,Normal,Neutral
complaint: dp bar bar cut ho rahi hai area me bahut dikkat ho rahi hai,electricity,High,Negative
complaint: parking illegal parking ho rahi hai society me jaldi solve kare,public,Normal,Negative
"serious issue, drain area ganda hai area me immediate action needed",sanitation,High,Negative
complaint: supply ganda pani aa raha hai colony me please fix asap,water,Normal,Negative
urgent: nala nahi uthaya gaya main road pe please fix asap,sanitation,High,Negative
urgent: construction accident ka danger h near hospital immediate action needed,roads,High,Negative
"please help, construction road damage hai near school bahut dikkat ho rahi hai",roads,Normal,Neutral
"serious issue, sadak toot gayi hai area me",roads,High,Negative
sadak construction incomplete h main road pe jaldi solve kare,roads,Normal,Neutral
urgent: awaz illegal parking ho rahi hai colony me bahut dikkat ho rahi hai,public,High,Negative
"please help, supply ganda pani aa raha h colony me bahut dikkat ho rahi h",water,High,Negative
urgent: supply ganda pani aa raha hai society me,water,High,Negative
"bahut problem hai, traffic traffic jam ho raha hai near school immediate action needed",public,Normal,Neutral
complaint: sadak toot gayi hai market me bahut dikkat ho rahi hai,roads,Normal,Neutral
"bahut problem hai, electricity nahi aa rahi market me jaldi solve kare",electricity,Normal,Neutral
complaint: awaz illegal parking ho rahi hai market me please fix asap,public,Normal,Neutral
complaint: pothole accident ka danger hai society me please fix asap,roads,High,Negative
pothole bahut kharab condition me hai main road pe jaldi solve kare,roads,Normal,Neutral
complaint: sadak accident ka danger hai near school,roads,High,Negative
urgent: safai kachra jama hai area me please fix asap,sanitation,High,Negative
urgent: sadak accident ka danger hai main road pe jaldi solve kare,roads,High,Negative
complaint: transformer power failure ho gaya hai main road pe,electricity,Normal,Neutral
"bahut prblm h, nala drain block ho gaya h area me please fix asap",sanitation,High,Negative
"please help, crowd bahut zyada hai near school bahut dikkat ho rahi hai",public,Normal,Neutral
"please help, supply nahi aa raha area me jaldi solve kare",water,Normal,Negative
"serious issue, dp current nahi aa raha society me",electricity,High,Negative
electricity fluctuation ho raha hai main road pe,electricity,Normal,Neutral
"please help, meter transformer kharab hai society me immediate action needed",electricity,Normal,Neutral
"serious issue, jal water issue hai near hospital bahut dikkat ho rahi hai",water,High,Negative
urgent: supply ganda pani aa raha h market me jaldi solve kare,water,High,Negative
"bahut problem hai, awaz illegal parking ho rahi hai main road pe bahut dikkat ho rahi hai",public,Normal,Neutral
"serious issue, transformer power failure ho gaya hai society me bahut dikkat ho rahi hai",electricity,Normal,Negative
complaint: road kaam adhura hai near school jaldi solve kare,roads,Normal,Neutral
complaint: light meter ka issue hai near hospital bahut dikkat ho rahi hai,electricity,High,Negative
"serious issue, kooda area ganda hai near hospital jaldi solve kare",sanitation,High,Negative
"serious issue, awaz control nahi ho raha colony me immediate action needed",public,Normal,Negative
complaint: crowd log bahut shor kar rahe hai area me jaldi solve kare,public,Normal,Neutral
"please help, supply ganda pani aa raha hai ghar ke paas immediate action needed",water,Normal,Neutral
"bahut problem hai, garbage area ganda hai area me immediate action needed",sanitation,Normal,Negative
complaint: drain overflow ho raha hai ghar ke paas please fix asap,sanitation,High,Negative
urgent: light shock lagne ka danger h society me bahut dikkat ho rahi h,electricity,High,Negative
"serious issue, power power failure ho gaya hai society me jaldi solve kare",electricity,Normal,Negative
urgent: pothole accident ka danger hai colony me jaldi solve kare,roads,High,Negative
"serious issue, construction bahut kharab condition me hai main road pe bahut dikkat ho rahi hai",roads,Normal,Negative
"bahut problem hai, crowd traffic jam ho raha hai market me",public,Normal,Negative
crowd illegal parking ho rahi hai near school,public,Normal,Neutral
"bahut prblm h, parking disturbance create ho raha h colony me jaldi solve kare",public,Normal,Negative
"please help, safai area ganda hai ghar ke paas immediate action needed",sanitation,Normal,Neutral
complaint: pani pipeline leak ho rahi hai ghar ke paas please fix asap,water,Normal,Negative
urgent: jal tap se pani nahi aa raha main road pe immediate action needed,water,High,Negative
"bahut problem hai, construction bahut kharab condition me hai main road pe please fix asap",roads,Normal,Neutral
"bahut problem hai, pipeline pipeline leak ho rahi hai near hospital immediate action needed",water,High,Negative
"bahut problem hai, pani pipeline leak ho rahi hai market me",water,High,Negative
street kaam adhura h near hospital,roads,Normal,Neutral
complaint: nala nahi uthaya gaya ghar ke paas please fix asap,sanitation,Normal,Negative
"bahut prblm h, sadak toot gayi h market me please fix asap",roads,Normal,Neutral
crowd traffic jam ho raha hai near hospital bahut dikkat ho rahi hai,public,Normal,Negative
complaint: street toot gayi hai near school please fix asap,roads,Normal,Neutral
urgent: waste area ganda hai near school,sanitation,High,Negative
"please help, nala bahut badbu aa rahi hai market me please fix asap",sanitation,Normal,Neutral
"serious issue, electricity bar bar cut ho rahi hai near hospital jaldi solve kare",electricity,Normal,Negative
urgent: noise bahut zyada hai colony me bahut dikkat ho rahi hai,public,High,Negative
"please help, jal nahi aa raha ghar ke paas",water,Normal,Negative
complaint: awaz traffic jam ho raha hai ghar ke paas bahut dikkat ho rahi hai,public,High,Negative
"serious issue, pani pipeline leak ho rahi hai colony me bahut dikkat ho rahi hai",water,Normal,Negative
"serious issue, kooda nahi uthaya gaya society me please fix asap",sanitation,High,Negative
"bahut problem hai, current transformer kharab hai colony me please fix asap",electricity,Normal,Neutral
urgent: pipeline ganda pani aa raha hai near hospital jaldi solve kare,water,High,Negative
"bahut problem hai, water supply band hai market me bahut dikkat ho rahi hai",water,Normal,Neutral
"please help, light fluctuation ho raha hai ghar ke paas",electricity,Normal,Neutral
urgent: street construction incomplete hai ghar ke paas jaldi solve kare,roads,High,Negative
"bahut problem hai, noise log bahut shor kar rahe hai society me bahut dikkat ho rahi hai",public,Normal,Negative
"serious issue, noise illegal parking ho rahi h main road pe immediate action needed",public,Normal,Negative
street road damage hai society me bahut dikkat ho rahi hai,roads,Normal,Negative
"please help, street kaam adhura hai near hospital bahut dikkat ho rahi hai",roads,Normal,Neutral
urgent: pothole road damage hai area me bahut dikkat ho rahi hai,roads,High,Negative
"bahut problem hai, water ganda pani aa raha hai ghar ke paas bahut dikkat ho rahi hai",water,Normal,Negative
complaint: tap tap se pani nahi aa raha area me immediate action needed,water,Normal,Neutral
"bahut prblm h, drain bahut badbu aa rahi h colony me bahut dikkat ho rahi h",sanitation,High,Negative
"bahut problem hai, bijli nahi aa rahi main road pe bahut dikkat ho rahi hai",electricity,Normal,Neutral
"serious issue, electricity transformer kharab h near school",electricity,High,Negative
"serious issue, construction kaam adhura hai area me jaldi solve kare",roads,Normal,Negative
"bahut prblm h, pani tap se pani nahi aa raha society me bahut dikkat ho rahi h",water,Normal,Neutral
"please help, kooda cleaning nahi hui ghar ke paas immediate action needed",sanitation,Normal,Neutral
"bahut problem hai, nala nahi uthaya gaya area me jaldi solve kare",sanitation,High,Negative
road toot gayi hai society me bahut dikkat ho rahi hai,roads,Normal,Negative
"bahut problem hai, nala nahi uthaya gaya market me",sanitation,Normal,Neutral
"bahut problem hai, kooda drain block ho gaya hai market me bahut dikkat ho rahi hai",sanitation,Normal,Negative
pothole toot gayi h near hospital,roads,Normal,Neutral
urgent: parking control nahi ho raha main road pe immediate action needed,public,High,Negative
"bahut prblm h, parking control nahi ho raha near school bahut dikkat ho rahi h",public,Normal,Negative
"serious issue, parking control nahi ho raha area me immediate action needed",public,Normal,Negative
"serious issue, voltage nahi aa rahi near hospital please fix asap",electricity,High,Negative
garbage bahut badbu aa rahi hai market me,sanitation,High,Negative
"please help, construction kaam adhura hai market me bahut dikkat ho rahi hai",roads,Normal,Neutral
"serious issue, street toot gayi hai colony me immediate action needed",roads,Normal,Negative
complaint: parking bahut zyada hai ghar ke paas,public,Normal,Negative
"serious issue, electricity current nahi aa raha area me immediate action needed",electricity,Normal,Negative
noise control nahi ho raha near hospital bahut dikkat ho rahi hai,public,Normal,Negative
urgent: jal supply band hai area me bahut dikkat ho rahi hai,water,High,Negative
urgent: nala kachra jama hai ghar ke paas please fix asap,sanitation,High,Negative
"please help, safai area ganda hai colony me please fix asap",sanitation,Normal,Neutral
"serious issue, electricity bar bar cut ho rahi hai area me bahut dikkat ho rahi hai",electricity,Normal,Negative
street road damage hai colony me jaldi solve kare,roads,Normal,Neutral
"serious issue, street accident ka danger hai ghar ke paas immediate action needed",roads,High,Negative
safai area ganda hai colony me immediate action needed,sanitation,Normal,Neutral
"please help, kooda bahut badbu aa rahi h society me immediate action needed",sanitation,Normal,Neutral
bijli nahi aa rahi main road pe,electricity,Normal,Neutral
urgent: garbage cleaning nahi hui near hospital bahut dikkat ho rahi hai,sanitation,High,Negative
urgent: parking disturbance create ho raha hai ghar ke paas bahut dikkat ho rahi hai,public,High,Negative
"bahut problem hai, pani tap se pani nahi aa raha area me jaldi solve kare",water,Normal,Neutral
waste overflow ho raha h near school bahut dikkat ho rahi h,sanitation,High,Negative
parking bahut zyada hai area me,public,Normal,Neutral
"bahut problem hai, current meter ka issue hai society me immediate action needed",electricity,Normal,Neutral
complaint: sadak bahut kharab condition me hai colony me,roads,Normal,Negative
complaint: power power failure ho gaya hai near hospital,electricity,Normal,Negative
"serious issue, garbage bahut badbu aa rahi hai market me",sanitation,Normal,Negative
"serious issue, parking bahut zyada hai market me jaldi solve kare",public,Normal,Negative
complaint: light transformer kharab h near school,electricity,Normal,Neutral
complaint: supply pressure bahut kam hai main road pe immediate action needed,water,Normal,Neutral
complaint: supply nahi aa raha society me please fix asap,water,Normal,Negative
complaint: sadak road damage h colony me,roads,High,Negative
"bahut problem hai, noise traffic jam ho raha hai ghar ke paas bahut dikkat ho rahi hai",public,Normal,Negative
"please help, road construction incomplete hai market me immediate action needed",roads,Normal,Neutral
"please help, kooda nahi uthaya gaya near school bahut dikkat ho rahi hai",sanitation,Normal,Negative
"please help, supply supply band h colony me immediate action needed",water,High,Negative
urgent: jal supply band hai society me bahut dikkat ho rahi hai,water,High,Negative
urgent: parking illegal parking ho rahi hai near hospital jaldi solve kare,public,High,Negative
"bahut prblm h, drain overflow ho raha h near school please fix asap",sanitation,Normal,Negative
"bahut problem hai, sadak bade potholes hai society me",roads,Normal,Neutral
"bahut problem hai, awaz traffic jam ho raha hai colony me jaldi solve kare",public,Normal,Neutral
complaint: tap tap se pani nahi aa raha society me bahut dikkat ho rahi hai,water,Normal,Negative
complaint: noise traffic jam ho raha hai near hospital immediate action needed,public,Normal,Neutral
"bahut problem hai, nala drain block ho gaya hai ghar ke paas bahut dikkat ho rahi hai",sanitation,Normal,Neutral
"please help, voltage current nahi aa raha main road pe please fix asap",electricity,Normal,Neutral
complaint: pothole road damage hai society me,roads,Normal,Negative
"please help, pipeline ganda pani aa raha hai area me immediate action needed",water,Normal,Neutral
urgent: pipeline ganda pani aa raha hai colony me bahut dikkat ho rahi hai,water,High,Negative
"please help, jal supply band hai society me",water,Normal,Neutral
"bahut problem hai, supply tap se pani nahi aa raha society me please fix asap",water,High,Negative
"bahut problem hai, jal supply band hai society me immediate action needed",water,Normal,Neutral
"please help, construction bade potholes hai society me please fix asap",roads,Normal,Neutral
complaint: jal pressure bahut kam hai colony me jaldi solve kare,water,Normal,Neutral
"bahut problem hai, waste nahi uthaya gaya main road pe",sanitation,Normal,Negative
"bahut problem hai, current transformer kharab hai near hospital immediate action needed",electricity,High,Negative
"bahut problem hai, water nahi aa raha society me please fix asap",water,High,Negative
"bahut prblm h, street road damage h main road pe",roads,Normal,Negative
"please help, awaz disturbance create ho raha h ghar ke paas please fix asap",public,Normal,Negative
urgent: sadak kaam adhura hai colony me immediate action needed,roads,High,Negative
complaint: dp shock lagne ka danger h colony me bahut dikkat ho rahi h,electricity,High,Negative
complaint: transformer bar bar cut ho rahi hai society me immediate action needed,electricity,Normal,Neutral
urgent: sadak construction incomplete hai near school bahut dikkat ho rahi hai,roads,High,Negative
urgent: parking illegal parking ho rahi hai area me jaldi solve kare,public,High,Negative
"please help, noise log bahut shor kar rahe h area me immediate action needed",public,Normal,Negative
"please help, pipeline supply band hai society me immediate action needed",water,Normal,Neutral
electricity shock lagne ka danger hai ghar ke paas please fix asap,electricity,High,Negative
"please help, dp faat gaya near hospital bahut dikkat ho rahi hai",electricity,Normal,Negative
"serious issue, kooda bahut badbu aa rahi h society me",sanitation,Normal,Negative
complaint: dp nahi aa rahi near school immediate action needed,electricity,Normal,Negative
"please help, meter power failure ho gaya hai society me jaldi solve kare",electricity,High,Negative
"serious issue, street accident ka danger hai near hospital jaldi solve kare",roads,High,Negative
"serious issue, pothole construction incomplete hai market me immediate action needed",roads,Normal,Negative
garbage area ganda hai colony me immediate action needed,sanitation,Normal,Neutral
"bahut prblm h, light meter ka issue h market me please fix asap",electricity,Normal,Negative
"please help, sadak accident ka danger hai main road pe",roads,High,Negative
pani nahi aa raha area me,water,Normal,Negative
urgent: supply pipeline leak ho rahi hai market me bahut dikkat ho rahi hai,water,High,Negative
urgent: traffic bahut zyada hai ghar ke paas immediate action needed,public,High,Negative
awaz control nahi ho raha ghar ke paas,public,Normal,Neutral
awaz log bahut shor kar rahe h society me,public,Normal,Negative
"please help, supply tap se pani nahi aa raha main road pe immediate action needed",water,Normal,Negative
traffic log bahut shor kar rahe hai society me jaldi solve kare,public,Normal,Neutral
"please help, pani pressure bahut kam hai near school bahut dikkat ho rahi hai",water,High,Negative
"please help, bijli nahi aa rahi market me please fix asap",electricity,Normal,Negative
"bahut problem hai, drain nahi uthaya gaya market me jaldi solve kare",sanitation,Normal,Neutral
transformer nahi aa rahi main road pe jaldi solve kare,electricity,Normal,Negative
urgent: parking disturbance create ho raha hai main road pe bahut dikkat ho rahi hai,public,High,Negative
"please help, sadak toot gayi hai main road pe bahut dikkat ho rahi hai",roads,Normal,Neutral
urgent: waste bahut badbu aa rahi hai ghar ke paas,sanitation,High,Negative
sadak road damage hai area me please fix asap,roads,Normal,Neutral
complaint: bijli shock lagne ka danger hai colony me bahut dikkat ho rahi hai,electricity,High,Negative
urgent: construction accident ka danger hai near school bahut dikkat ho rahi hai,roads,High,Negative
"bahut problem hai, waste overflow ho raha hai near school bahut dikkat ho rahi hai",sanitation,High,Negative
urgent: tap ganda pani aa raha hai near school immediate action needed,water,High,Negative
"please help, street bade potholes h near hospital",roads,Normal,Neutral
complaint: supply water issue hai area me jaldi solve kare,water,Normal,Neutral
"please help, drain bahut badbu aa rahi hai market me immediate action needed",sanitation,Normal,Negative
"bahut problem hai, waste drain block ho gaya hai near school",sanitation,Normal,Neutral
"bahut problem hai, electricity current nahi aa raha society me jaldi solve kare",electricity,High,Negative
"please help, jal nahi aa raha market me bahut dikkat ho rahi hai",water,Normal,Neutral
urgent: drain nahi uthaya gaya market me jaldi solve kare,sanitation,High,Negative
"bahut problem hai, drain bahut badbu aa rahi hai main road pe jaldi solve kare",sanitation,Normal,Neutral
"please help, parking bahut zyada hai main road pe please fix asap",public,Normal,Neutral
complaint: pipeline nahi aa raha main road pe immediate action needed,water,Normal,Neutral
urgent: sadak toot gayi hai colony me,roads,High,Negative
complaint: construction construction incomplete hai ghar ke paas please fix asap,roads,Normal,Negative
pipeline supply band hai near hospital immediate action needed,water,Normal,Neutral
"please help, safai area ganda hai near hospital jaldi solve kare",sanitation,High,Negative
voltage meter ka issue hai colony me bahut dikkat ho rahi hai,electricity,Normal,Neutral
parking bahut zyada hai ghar ke paas,public,Normal,Neutral
"please help, street bahut kharab condition me hai society me please fix asap",roads,Normal,Neutral
nala overflow ho raha hai near school bahut dikkat ho rahi hai,sanitation,Normal,Neutral
"serious issue, light nahi aa rahi main road pe jaldi solve kare",electricity,Normal,Negative
"bahut problem hai, waste drain block ho gaya hai area me please fix asap",sanitation,High,Negative
complaint: construction construction incomplete hai ghar ke paas please fix asap,roads,Normal,Neutral
complaint: garbage drain block ho gaya hai main road pe jaldi solve kare,sanitation,Normal,Neutral
"bahut problem hai, sadak kaam adhura hai ghar ke paas immediate action needed",roads,Normal,Neutral
complaint: tap ganda pani aa raha hai area me bahut dikkat ho rahi hai,water,Normal,Neutral
complaint: power fluctuation ho raha hai ghar ke paas please fix asap,electricity,Normal,Neutral
"bahut problem hai, parking disturbance create ho raha hai main road pe please fix asap",public,Normal,Negative
"please help, pothole bade potholes hai near hospital bahut dikkat ho rahi hai",roads,Normal,Neutral
complaint: pipeline pressure bahut kam h society me,water,Normal,Negative
urgent: voltage fluctuation ho raha hai society me bahut dikkat ho rahi hai,electricity,High,Negative
"serious issue, pothole construction incomplete h market me immediate action needed",roads,Normal,Negative
awaz bahut zyada hai colony me,public,Normal,Negative
"bahut prblm h, power meter ka issue h main road pe jaldi solve kare",electricity,Normal,Neutral
power faat gaya society me please fix asap,electricity,Normal,Neutral
"bahut problem hai, light power failure ho gaya hai colony me please fix asap",electricity,Normal,Neutral
"serious issue, traffic disturbance create ho raha hai ghar ke paas",public,High,Negative
urgent: noise log bahut shor kar rahe hai colony me jaldi solve kare,public,High,Negative
"serious issue, noise disturbance create ho raha h colony me jaldi solve kare",public,Normal,Negative
"serious issue, crowd control nahi ho raha market me immediate action needed",public,High,Negative
"serious issue, light current nahi aa raha near school immediate action needed",electricity,High,Negative
complaint: pipeline pressure bahut kam hai near hospital immediate action needed,water,Normal,Neutral
"serious issue, meter shock lagne ka danger h society me jaldi solve kare",electricity,High,Negative
"bahut problem hai, crowd disturbance create ho raha hai society me bahut dikkat ho rahi hai",public,Normal,Negative
"please help, awaz bahut zyada hai ghar ke paas immediate action needed",public,Normal,Neutral
"serious issue, road bahut kharab condition me hai near hospital please fix asap",roads,Normal,Negative
